                              gl-cor:identifierAuthorityVerificationDate,1985-12-09,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-cor:identifierContactInformationStructure,,Tingimuslik,,,,,,,,,,,,,,,,,,
                              gl-cor:identifierContactLastName,Lake,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                              gl-cor:identifierContactFirstName,John,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-bus:measurable,,Tingimuslik,,,,,,,,,,,,,,,,,,
                    gl-bus:measurableID,TOR01,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableIDSchema,SYNDMUS2017ap,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableDescription,TOOAJAMAAR,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableQuantity,144,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableUnitOfMeasure,,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableStartDateTime,2017-01-04,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-bus:measurableEndDateTime,2023-11-30,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:documentNumber,MA10001,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:documentApplyToNumber,EA10001,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:documentDate,2023-01-01,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:taxes,-,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-cor:taxPercentageRate,0.22,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
