sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
11,4,A,,bus:Entity Party Phone Communication Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
AO (Uniform Resource Location : URL) Identification of the Uniform Resource Location (URL) Synonym: World wide web address.
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Party_ Phone,BU02a_BU01_02,/BT01a/BU02a/BU02a_BU01_02,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Phone.bus:Communication_ Channel Code,BtxbTran.BtxePart.BuspPhon.BuscChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
AO(URL) URL（Uniform Resource Location）の識別。同義語：ワールドワイドウェブアドレス。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyPhoneCommunicationChannelCode,/btx:businessTransactions/btx:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneCommunicationChannelCode
12,4,A,,bus:Entity Party Phone Communication Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Party_ Phone,BU02a_BU01_03,/BT01a/BU02a/BU02a_BU01_03,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Phone.bus:Communication_ Complete Number,BtxbTran.BtxePart.BuspPhon.BuscCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyPhoneCommunicationCompleteNumber,/btx:businessTransactions/btx:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneCommunicationCompleteNumber
13,3,C,,bus:Entity Party Address,,0..*,,Class which contains address information.,bus,bus:Party_ Address,BU03a,/BT01a/BU03a,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address,BtxbTran.BtxePart.BuspAdds,【住所】,住所情報。,bus:entityPartyAddress,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress
14,4,A,,bus:Entity Party Address Street,,0..1,,Street address,bus,bus:Party_ Address,BU03a_01,/BT01a/BU03a/BU03a_01,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:Street,BtxbTran.BtxePart.BuspAdds.Buss,住所通り,住所の通り。,bus:entityPartyAddressStreet,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressStreet
15,4,A,,bus:Entity Party Address Detail,,0..1,,Address Detail,bus,bus:Party_ Address,BU03a_02,/BT01a/BU03a/BU03a_02,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:Address Detail,BtxbTran.BtxePart.BuspAdds.BusdDetl,住所詳細,住所詳細。,bus:entityPartyAddressDetail,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressDetail
16,4,A,,bus:Entity Party Address City,,0..1,,City,bus,bus:Party_ Address,BU03a_03,/BT01a/BU03a/BU03a_03,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:City,BtxbTran.BtxePart.BuspAdds.Busc,住所都市,住所の都市。,bus:entityPartyAddressCity,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressCity
17,4,A,,bus:Entity Party Address State or Province,,0..1,,"State, province or region",bus,bus:Party_ Address,BU03a_04,/BT01a/BU03a/BU03a_04,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:State or Province,BtxbTran.BtxePart.BuspAdds.BussOrProv,住所州,住所の州や地方。,bus:entityPartyAddressStateOrProvince,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressStateOrProvince
18,4,A,,bus:Entity Party Address Country,,0..1,,Country,bus,bus:Party_ Address,BU03a_05,/BT01a/BU03a/BU03a_05,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:Country,BtxbTran.BtxePart.BuspAdds.Busc,住所国,住所の国。,bus:entityPartyAddressCountry,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressCountry
19,4,A,,bus:Entity Party Address Zip or Postal Code,,0..1,,Zip or other postal code,bus,bus:Party_ Address,BU03a_06,/BT01a/BU03a/BU03a_06,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Address.bus:Zip or Postal Code,BtxbTran.BtxePart.BuspAdds.BuszOrPostCod,住所郵便番号,住所の郵便番号。,bus:entityPartyAddressZipOrPostalCode,/btx:businessTransactions/btx:entityParty/bus:entityPartyAddress/bus:entityPartyAddressZipOrPostalCode
20,3,C,,bus:Entity Party Contact,,0..*,,Information about contacts.,bus,bus:Party_ Contact,BU04a,/BT01a/BU04a,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact,BtxbTran.BtxePart.BuspCont,【担当者情報】,担当者に関する情報。,bus:entityPartyContact,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact
21,4,A,,bus:Entity Party Contact Prefix,,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",bus,bus:Party_ Contact,BU04a_01,/BT01a/BU04a/BU04a_01,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Prefix,BtxbTran.BtxePart.BuspCont.Busp,敬称,敬称(Dr.、Mr.、Mrs.など),bus:entityPartyContactPrefix,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactPrefix
22,4,A,,bus:Entity Party Contact Last Name,,0..1,,Last or family name,bus,bus:Party_ Contact,BU04a_02,/BT01a/BU04a/BU04a_02,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Last Name,BtxbTran.BtxePart.BuspCont.BuslNam,姓,姓,bus:entityPartyContactLastName,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactLastName
23,4,A,,bus:Entity Party Contact First Name,,0..1,,First or given name,bus,bus:Party_ Contact,BU04a_03,/BT01a/BU04a/BU04a_03,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:First Name,BtxbTran.BtxePart.BuspCont.BusfNam,名,名、クリスチャンネーム,bus:entityPartyContactFirstName,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactFirstName
24,4,A,,bus:Entity Party Contact Active,,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,bus:Party_ Contact,BU04a_04,/BT01a/BU04a/BU04a_04,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Active,BtxbTran.BtxePart.BuspCont.Busc,担当者有効性,担当者が有効か無効かを示すブール値。,bus:entityPartyContactActive,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactActive
25,4,C,,bus:Entity Party Contact Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Phone,BU02b,/BT01a/BU04a/BU02b,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Phone,BtxbTran.BtxePart.BuspCont.Busp,【電話番号】,電話番号情報（通信手段の特化）。,bus:entityPartyContactPhone,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone
26,5,A,,bus:Entity Party Contact Phone Communication URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Phone,BU02b_BU01_01,/BT01a/BU04a/BU02b/BU02b_BU01_01,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Phone.bus:Communication_ URI Identifier,BtxbTran.BtxePart.BuspCont.Busp.BuscUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyContactPhoneCommunicationUriIdentifier,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneCommunicationUriIdentifier
27,5,A,,bus:Entity Party Contact Phone Communication Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
AO (Uniform Resource Location : URL) Identification of the Uniform Resource Location (URL) Synonym: World wide web address.
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Phone,BU02b_BU01_02,/BT01a/BU04a/BU02b/BU02b_BU01_02,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Phone.bus:Communication_ Channel Code,BtxbTran.BtxePart.BuspCont.Busp.BuscChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
AO(URL) URL（Uniform Resource Location）の識別。同義語：ワールドワイドウェブアドレス。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyContactPhoneCommunicationChannelCode,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneCommunicationChannelCode
28,5,A,,bus:Entity Party Contact Phone Communication Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Phone,BU02b_BU01_03,/BT01a/BU04a/BU02b/BU02b_BU01_03,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Contact.bus:Phone.bus:Communication_ Complete Number,BtxbTran.BtxePart.BuspCont.Busp.BuscCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyContactPhoneCommunicationCompleteNumber,/btx:businessTransactions/btx:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneCommunicationCompleteNumber
