sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
11,3,A,,bus:Document Information Period Covered Start,,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,bus:Document Information,BU07a_09,/BT30a/BU07a_09,$.btx:Business Transactions.bus:Document Information.bus:Period Covered Start,BtxbTran.BusdInfn.BuspCovrStar,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,bus:documentInformationPeriodCoveredStart,/btx:businessTransactions/bus:documentInformation/bus:documentInformationPeriodCoveredStart
12,3,A,,bus:Document Information Period Covered End,,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,bus:Document Information,BU07a_10,/BT30a/BU07a_10,$.btx:Business Transactions.bus:Document Information.bus:Period Covered End,BtxbTran.BusdInfn.BuspCovrEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,bus:documentInformationPeriodCoveredEnd,/btx:businessTransactions/bus:documentInformation/bus:documentInformationPeriodCoveredEnd
13,3,A,,bus:Document Information Period Count,,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",bus,bus:Document Information,BU07a_11,/BT30a/BU07a_11,$.btx:Business Transactions.bus:Document Information.bus:Period Count,BtxbTran.BusdInfn.BuspCont,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,bus:documentInformationPeriodCount,/btx:businessTransactions/bus:documentInformation/bus:documentInformationPeriodCount
14,3,A,,bus:Document Information Period Unit,,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",bus,bus:Document Information,BU07a_12,/BT30a/BU07a_12,$.btx:Business Transactions.bus:Document Information.bus:Period Unit,BtxbTran.BusdInfn.BuspUnt,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",bus:documentInformationPeriodUnit,/btx:businessTransactions/bus:documentInformation/bus:documentInformationPeriodUnit
15,3,A,,bus:Document Information Period Unit Description,,0..1,,Free format description of the period unit,bus,bus:Document Information,BU07a_13,/BT30a/BU07a_13,$.btx:Business Transactions.bus:Document Information.bus:Period Unit Description,BtxbTran.BusdInfn.BuspUntDesc,期間単位説明,対象期間単位の説明。,bus:documentInformationPeriodUnitDescription,/btx:businessTransactions/bus:documentInformation/bus:documentInformationPeriodUnitDescription
16,3,A,,bus:Document Information Source Application,,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",bus,bus:Document Information,BU07a_14,/BT30a/BU07a_14,$.btx:Business Transactions.bus:Document Information.bus:Source Application,BtxbTran.BusdInfn.BussAppn,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,bus:documentInformationSourceApplication,/btx:businessTransactions/bus:documentInformation/bus:documentInformationSourceApplication
17,3,A,,bus:Document Information Target Application,,0..1,,Particular use for which file was generated.,bus,bus:Document Information,BU07a_15,/BT30a/BU07a_15,$.btx:Business Transactions.bus:Document Information.bus:Target Application,BtxbTran.BusdInfn.BustAppn,対象アプリケーション,ファイルが作成された用途。,bus:documentInformationTargetApplication,/btx:businessTransactions/bus:documentInformation/bus:documentInformationTargetApplication
18,3,A,,bus:Document Information Default Currency,,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",bus,bus:Document Information,BU07a_16,/BT30a/BU07a_16,$.btx:Business Transactions.bus:Document Information.bus:Default Currency,BtxbTran.BusdInfn.BusdCurr,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,bus:documentInformationDefaultCurrency,/btx:businessTransactions/bus:documentInformation/bus:documentInformationDefaultCurrency
19,3,C,,lnk:Document Information Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,lnk,lnk:Summary Reporting Taxonomies,LK08a,/BT30a/LK08a,$.btx:Business Transactions.bus:Document Information.lnk:Summary Reporting Taxonomies,BtxbTran.BusdInfn.LnksReprTaxn,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,lnk:documentInformationSummaryReportingTaxonomies,/btx:businessTransactions/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies
20,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy ID,,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",lnk,lnk:Summary Reporting Taxonomies,LK08a_01,/BT30a/LK08a/LK08a_01,$.btx:Business Transactions.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy ID,BtxbTran.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnId,集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyId,/btx:businessTransactions/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyId
21,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Schema Reference Href Attribute,,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,lnk,lnk:Summary Reporting Taxonomies,LK08a_02,/BT30a/LK08a/LK08a_02,$.btx:Business Transactions.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Schema Reference Href Attribute,BtxbTran.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnScheRefrHrefAttt,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomySchemaReferenceHrefAttribute,/btx:businessTransactions/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomySchemaReferenceHrefAttribute
22,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Header,,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,lnk,lnk:Summary Reporting Taxonomies,LK08a_03,/BT30a/LK08a/LK08a_03,$.btx:Business Transactions.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Header,BtxbTran.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnHedr,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyHeader,/btx:businessTransactions/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyHeader
23,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Description,,0..1,,A description of the taxonomy for human use.,lnk,lnk:Summary Reporting Taxonomies,LK08a_04,/BT30a/LK08a/LK08a_04,$.btx:Business Transactions.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Description,BtxbTran.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnDesc,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyDescription,/btx:businessTransactions/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyDescription
24,2,C,,cor:Entity Party,,0..1,,Holder for entity information - information about the reporting organization.,cor,cor:Entity_ Party,CO05a,/BT30a/CO05a,$.btx:Business Transactions.cor:Entity_ Party,BtxbTran.CornPart,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,cor:entityParty,/btx:businessTransactions/cor:entityParty
25,3,A,PK,cor:Entity Party ID,,0..1,,ID Number of the party,cor,cor:Entity_ Party,CO05a_01,/BT30a/CO05a_01,$.btx:Business Transactions.cor:Entity_ Party.cor:ID,BtxbTran.CornPart.Cord,,,cor:entityPartyId,/btx:businessTransactions/cor:entityParty/cor:entityPartyId
26,3,A,,cor:Entity Party Name,,0..1,,Name of the party,cor,cor:Entity_ Party,CO05a_02,/BT30a/CO05a_02,$.btx:Business Transactions.cor:Entity_ Party.cor:Name,BtxbTran.CornPart.Corn,,,cor:entityPartyName,/btx:businessTransactions/cor:entityParty/cor:entityPartyName
27,3,A,,cor:Entity Party Business Description,,0..1,,Description of the nature of the business of the party.,cor,cor:Entity_ Party,CO05a_03,/BT30a/CO05a_03,$.btx:Business Transactions.cor:Entity_ Party.cor:Business Description,BtxbTran.CornPart.CorbDesc,業種説明,事業体の事業の種類についての説明。,cor:entityPartyBusinessDescription,/btx:businessTransactions/cor:entityParty/cor:entityPartyBusinessDescription
28,3,A,,cor:Entity Party Default Accounting Method Purpose,,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",cor,cor:Entity_ Party,CO05a_BU17_11,/BT30a/CO05a_BU17_11,$.btx:Business Transactions.cor:Entity_ Party.bus:Default Accounting Method Purpose,BtxbTran.CornPart.BusdAccgMethPurp,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",cor:entityPartyDefaultAccountingMethodPurpose,/btx:businessTransactions/cor:entityParty/cor:entityPartyDefaultAccountingMethodPurpose
29,3,A,,cor:Entity Party Default Accounting Method Purpose Description,,0..1,,Free format description of the default accounting method purpose,cor,cor:Entity_ Party,CO05a_BU17_12,/BT30a/CO05a_BU17_12,$.btx:Business Transactions.cor:Entity_ Party.bus:Default Accounting Method Purpose Description,BtxbTran.CornPart.BusdAccgMethPurpDesc,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,cor:entityPartyDefaultAccountingMethodPurposeDescription,/btx:businessTransactions/cor:entityParty/cor:entityPartyDefaultAccountingMethodPurposeDescription
30,3,A,,cor:Entity Party Fiscal Year Start,,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,cor:Entity_ Party,CO05a_BU17_13,/BT30a/CO05a_BU17_13,$.btx:Business Transactions.cor:Entity_ Party.bus:Fiscal Year Start,BtxbTran.CornPart.BusfYerStar,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,cor:entityPartyFiscalYearStart,/btx:businessTransactions/cor:entityParty/cor:entityPartyFiscalYearStart
31,3,A,,cor:Entity Party Fiscal Year End,,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,cor:Entity_ Party,CO05a_BU17_14,/BT30a/CO05a_BU17_14,$.btx:Business Transactions.cor:Entity_ Party.bus:Fiscal Year End,BtxbTran.CornPart.BusfYerEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,cor:entityPartyFiscalYearEnd,/btx:businessTransactions/cor:entityParty/cor:entityPartyFiscalYearEnd
32,3,C,,bus:Entity Party Accounting Method,,0..*,,Class for identifying the methods of accounting used by the entity for different reporting purposes,bus,bus:Accounting Method,BU09a,/BT30a/BU09a,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method,BtxbTran.CornPart.BuscMeth,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。,bus:entityPartyAccountingMethod,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod
33,4,A,,bus:Entity Party Accounting Method Code,,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,bus:Accounting Method,BU09a_01,/BT30a/BU09a/BU09a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method Code,BtxbTran.CornPart.BuscMeth.BuscMethCod,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",bus:entityPartyAccountingMethodCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodCode
34,4,A,,bus:Entity Party Accounting Method Description,,0..1,,Free format description of the accounting method,bus,bus:Accounting Method,BU09a_02,/BT30a/BU09a/BU09a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method Description,BtxbTran.CornPart.BuscMeth.BuscMethDesc,会計処理方法説明,会計処理方法の説明。,bus:entityPartyAccountingMethodDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodDescription
35,4,A,,bus:Entity Party Accounting Method Purpose,,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",bus,bus:Accounting Method,BU09a_03,/BT30a/BU09a/BU09a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method Purpose,BtxbTran.CornPart.BuscMeth.BuscMethPurp,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",bus:entityPartyAccountingMethodPurpose,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodPurpose
36,4,A,,bus:Entity Party Accounting Method Purpose Description,,0..1,,Free format description of the accounting method purpose,bus,bus:Accounting Method,BU09a_04,/BT30a/BU09a/BU09a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method Purpose Description,BtxbTran.CornPart.BuscMeth.BuscMethPurpDesc,会計処理方法目的説明,会計処理方法の目的の説明。,bus:entityPartyAccountingMethodPurposeDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodPurposeDescription
37,4,A,,bus:Entity Party Accounting Method Start Date,,0..1,,Accounting Method Start Date,bus,bus:Accounting Method,BU09a_05,/BT30a/BU09a/BU09a_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method Start Date,BtxbTran.CornPart.BuscMeth.BuscMethStarDat,会計処理方法開始日付,会計処理方法の開始日。,bus:entityPartyAccountingMethodStartDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodStartDate
38,4,A,,bus:Entity Party Accounting Method End Date,,0..1,,Accounting Method End Date,bus,bus:Accounting Method,BU09a_06,/BT30a/BU09a/BU09a_06,$.btx:Business Transactions.cor:Entity_ Party.bus:Accounting Method.bus:Accounting Method End Date,BtxbTran.CornPart.BuscMeth.BuscMethEndDat,会計処理方法終了日付,会計処理方法の終了日。,bus:entityPartyAccountingMethodEndDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyAccountingMethod/bus:entityPartyAccountingMethodEndDate
39,3,R,,cor:Entity Party Authority Registered Identifier,,0..*,,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,cor:Entity_ Party,CO01a,/BT30a/CO01a,$.btx:Business Transactions.cor:Entity_ Party.cor:Authority Registered Identifier,BtxbTran.CornPart.CortRegsIdnr,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。,cor:entityPartyAuthorityRegisteredIdentifier,/btx:businessTransactions/cor:entityParty/cor:entityPartyAuthorityRegisteredIdentifier
42,3,C,,bus:Entity Party Contact,,0..*,,Information about contacts.,bus,bus:Contact,BU08a,/BT30a/BU08a,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact,BtxbTran.CornPart.Busc,【担当者情報】,担当者に関する情報。,bus:entityPartyContact,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact
43,4,A,,bus:Entity Party Contact Prefix,,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",bus,bus:Contact,BU08a_01,/BT30a/BU08a/BU08a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Prefix,BtxbTran.CornPart.Busc.BuscPref,敬称,敬称(Dr.、Mr.、Mrs.など),bus:entityPartyContactPrefix,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPrefix
44,4,A,,bus:Entity Party Contact Last Name,,0..1,,Last or family name,bus,bus:Contact,BU08a_02,/BT30a/BU08a/BU08a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Last Name,BtxbTran.CornPart.Busc.BuscLastNam,姓,姓,bus:entityPartyContactLastName,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactLastName
45,4,A,,bus:Entity Party Contact First Name,,0..1,,First or given name,bus,bus:Contact,BU08a_03,/BT30a/BU08a/BU08a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact First Name,BtxbTran.CornPart.Busc.BuscFirsNam,名,名、クリスチャンネーム,bus:entityPartyContactFirstName,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFirstName
46,4,A,,bus:Entity Party Contact Suffix,,0..1,,"Suffix (e.g. MD, CPA, Jr.)",bus,bus:Contact,BU08a_04,/BT30a/BU08a/BU08a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Suffix,BtxbTran.CornPart.Busc.BuscSuff,付加名称,付加名称(MD、CPA、Jr.など),bus:entityPartyContactSuffix,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactSuffix
47,4,A,,bus:Entity Party Contact Attention Line,,0..1,,Attention Line,bus,bus:Contact,BU08a_05,/BT30a/BU08a/BU08a_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Attention Line,BtxbTran.CornPart.Busc.BuscAttnLin,アテンションライン,アテンションライン,bus:entityPartyContactAttentionLine,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactAttentionLine
48,4,A,,bus:Entity Party Contact Position Role,,0..1,,Position or role,bus,bus:Contact,BU08a_06,/BT30a/BU08a/BU08a_06,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Position Role,BtxbTran.CornPart.Busc.BuscPostRol,地位/役職,地位や役職。,bus:entityPartyContactPositionRole,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPositionRole
