name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　　　　　　特別積立金,0,利益剰余金,,特別積立金,,1,6,10C130340,Special reserve
　　　　　　任意積立金,0,利益剰余金,,任意積立金,,1,6,10C130350,Voluntary retained earnings
　　　　　　別途積立金,0,利益剰余金,,別途積立金,,1,6,10C130360,General reserve
　　　　　　繰越利益剰余金,0,利益剰余金,,繰越利益剰余金,,1,6,10C130370,Retained earnings brought forward
　　　　　　その他利益剰余金,0,利益剰余金,,その他利益剰余金,,1,6,10C130380,Other retained earnings
　　　　　利益剰余金,0,利益剰余金,,利益剰余金,,1,5,10C130390,Retained earnings
　　　　自己株式,0,株主資本,,自己株式,,1,4,10C100020,Treasury shares
　　　　自己株式申込証拠金,0,株主資本,,自己株式申込証拠金,,1,4,10C100030,Deposit for subscriptions to treasury shares
　　　　株主資本,0,株主資本,,株主資本,,1,4,10C100040,Shareholders' equity
　　　評価・換算差額等,,評価・換算差額等,,評価・換算差額等,,T,3,10C200010,Valuation and translation adjustments
　　　　その他有価証券評価差額金,0,評価・換算差額等,,その他有価証券評価差額金,,1,4,10C200020,Valuation difference on available-for-sale securities
　　　　繰延ヘッジ損益,0,評価・換算差額等,,繰延ヘッジ損益,,1,4,10C200030,Deferred gains or losses on hedges
　　　　土地再評価差額金,0,評価・換算差額等,,土地再評価差額金,,1,4,10C200040,Revaluation reserve for land
　　　　為替換算調整勘定,0,評価・換算差額等,,為替換算調整勘定,,1,4,10C200050,Foreign currency translation adjustment
　　　　退職給付に係る調整累計額,0,評価・換算差額等,,退職給付に係る調整累計額,,1,4,10C200060,Remeasurements of defined benefit plans
　　　　評価・換算差額等,0,評価・換算差額等,,評価・換算差額等,,1,4,10C200070,Valuation and translation adjustments
　　　新株予約権,0,新株予約権,,新株予約権,,1,3,10C300010,Share acquisition rights
　　　自己新株予約権,0,新株予約権,,自己新株予約権,,1,3,10C300020,Treasury share acquisition rights
　　　非支配株主持分,0,純資産,,非支配株主持分,,1,3,10C000020,Non-controlling interests
　　　純資産,0,純資産,,純資産,,1,3,10C000030,Net assets
　　負債純資産,0,純資産,,負債純資産,,1,2,10C000040,Liabilities and net assets
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
0,0,追加,,,,,,,
