sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1020,3,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,(Transaction) Currency,BS04a_01,/PR01a_GE08_01/BS04a_01,$.Purchase Contract.Contract.(Transaction) Currency.Code,PurCntrc.TrnscCur.Cd,,
1021,2,R,,Payment Term,,0..1,,"The reference association to the Payment Term class, which is a class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,34,Payment Term,BS13a,/PR01a_GE08_01/BS13a,$.Purchase Contract.Contract.Payment Term,PurCntrc.PayTerm,,
1022,3,A,REF,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,Purchase,34,Payment Term,BS13a_01,/PR01a_GE08_01/BS13a_01,$.Purchase Contract.Contract.Payment Term.Code,PurCntrc.PayTerm.Cd,,
1023,2,R,,Settlement Method,,0..1,,"The reference association to the Settlement Method class, which is a class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,28,Settlement Method,BS15a,/PR01a_GE08_01/BS15a,$.Purchase Contract.Contract.Settlement Method,PurCntrc.SetlMethd,,
1024,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,Purchase,28,Settlement Method,BS15a_01,/PR01a_GE08_01/BS15a_01,$.Purchase Contract.Contract.Settlement Method.Code,PurCntrc.SetlMethd.Cd,,
1025,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,Activities,GE01a,/PR01a_GE08_01/GE01a,$.Purchase Contract.Contract.Activities,PurCntrc.Acts,,
1026,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Approved) Activity,GE02a,/PR01a_GE08_01/GE02a,$.Purchase Contract.Contract.Activities.(Approved) Activity,PurCntrc.Acts.ApprvAct,,
1027,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Approved) Activity,GE02a_01,/PR01a_GE08_01/GE02a_01,$.Purchase Contract.Contract.Activities.(Approved) Activity.Date,PurCntrc.Acts.ApprvAct.Dt,,
1028,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Approved) Activity,GE02a_02,/PR01a_GE08_01/GE02a_02,$.Purchase Contract.Contract.Activities.(Approved) Activity.Time,PurCntrc.Acts.ApprvAct.Tm,,
1029,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22a,/PR01a_GE08_01/BS22a,$.Purchase Contract.Contract.Activities.(Approved) Activity.User,PurCntrc.Acts.ApprvAct.Usr,,
1030,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22a_01,/PR01a_GE08_01/BS22a_01,$.Purchase Contract.Contract.Activities.(Approved) Activity.User.ID,PurCntrc.Acts.ApprvAct.Usr.Id,,
1031,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Created) Activity,GE02b,/PR01a_GE08_01/GE02b,$.Purchase Contract.Contract.Activities.(Created) Activity,PurCntrc.Acts.CrtdAct,,
1032,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Created) Activity,GE02b_01,/PR01a_GE08_01/GE02b_01,$.Purchase Contract.Contract.Activities.(Created) Activity.Date,PurCntrc.Acts.CrtdAct.Dt,,
1033,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Created) Activity,GE02b_02,/PR01a_GE08_01/GE02b_02,$.Purchase Contract.Contract.Activities.(Created) Activity.Time,PurCntrc.Acts.CrtdAct.Tm,,
1034,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22b,/PR01a_GE08_01/BS22b,$.Purchase Contract.Contract.Activities.(Created) Activity.User,PurCntrc.Acts.CrtdAct.Usr,,
1035,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22b_01,/PR01a_GE08_01/BS22b_01,$.Purchase Contract.Contract.Activities.(Created) Activity.User.ID,PurCntrc.Acts.CrtdAct.Usr.Id,,
1036,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Last Modified) Activity,GE02c,/PR01a_GE08_01/GE02c,$.Purchase Contract.Contract.Activities.(Last Modified) Activity,PurCntrc.Acts.LastMdfdAct,,
1037,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Last Modified) Activity,GE02c_01,/PR01a_GE08_01/GE02c_01,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.Date,PurCntrc.Acts.LastMdfdAct.Dt,,
1038,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Last Modified) Activity,GE02c_02,/PR01a_GE08_01/GE02c_02,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.Time,PurCntrc.Acts.LastMdfdAct.Tm,,
1039,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22c,/PR01a_GE08_01/BS22c,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.User,PurCntrc.Acts.LastMdfdAct.Usr,,
1040,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22c_01,/PR01a_GE08_01/BS22c_01,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.User.ID,PurCntrc.Acts.LastMdfdAct.Usr.Id,,
1041,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Posted) Activity,GE02d,/PR01a_GE08_01/GE02d,$.Purchase Contract.Contract.Activities.(Posted) Activity,PurCntrc.Acts.PstdAct,,
1042,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Posted) Activity,GE02d_01,/PR01a_GE08_01/GE02d_01,$.Purchase Contract.Contract.Activities.(Posted) Activity.Date,PurCntrc.Acts.PstdAct.Dt,,
1043,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Posted) Activity,GE02d_02,/PR01a_GE08_01/GE02d_02,$.Purchase Contract.Contract.Activities.(Posted) Activity.Time,PurCntrc.Acts.PstdAct.Tm,,
1044,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22d,/PR01a_GE08_01/BS22d,$.Purchase Contract.Contract.Activities.(Posted) Activity.User,PurCntrc.Acts.PstdAct.Usr,,
1045,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22d_01,/PR01a_GE08_01/BS22d_01,$.Purchase Contract.Contract.Activities.(Posted) Activity.User.ID,PurCntrc.Acts.PstdAct.Usr.Id,,
1046,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS02a,/PR01a_GE08_01/BS02a,$.Purchase Contract.Contract.Business Segment,PurCntrc.BusSg,,
1047,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS02a_01,/PR01a_GE08_01/BS02a/BS02a_01,$.Purchase Contract.Contract.Business Segment.Code,PurCntrc.BusSg.Cd,,
1048,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS02a_03,/PR01a_GE08_01/BS02a/BS02a_03,$.Purchase Contract.Contract.Business Segment.Segment Reference Level,PurCntrc.BusSg.SgRefLevl,,
1049,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Purchase,0,ID,PR02a_GE09_01,/PR02a_GE09_01,$.Purchase Contract Line.Contract Line.ID,PurContrLncntLn.Id,,
1050,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Purchase,0,Contract Line,PR02b_GE09_01,/PR02a_GE09_01/PR02b_GE09_01,$.Purchase Contract Line.Contract Line.ID,PurContrLncntLn.Id,,
1051,2,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",Purchase,0,Contract Line,PR02c_GE09_02,/PR02a_GE09_01/PR02c_GE09_02,$.Purchase Contract Line.Contract Line.Number,PurContrLncntLn.Nr,,
1052,2,A,,Due Date,Date,0..1,DATE,The final date by which delivery of products or materials is requested.,Purchase,0,Contract Line,PR02d_GE09_03,/PR02a_GE09_01/PR02d_GE09_03,$.Purchase Contract Line.Contract Line.Due Date,PurContrLncntLn.DDt,,
1053,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract line item's lifecycle.,Purchase,0,Contract Line,PR02e_GE09_04,/PR02a_GE09_01/PR02e_GE09_04,$.Purchase Contract Line.Contract Line.Status,PurContrLncntLn.Stat,,
1054,2,R,,(Settlement Organization) Business Segment,,0..1,,"The reference association to the Settlement Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Settlement Organization) Business Segment,BS02b,/PR02a_GE09_01/BS02b,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment,PurContrLncntLn.SettlOrgnzBusSg,,
1055,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Settlement Organization) Business Segment,BS02b_01,/PR02a_GE09_01/BS02b_01,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment.Code,PurContrLncntLn.SettlOrgnzBusSg.Cd,,
1056,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Settlement Organization) Business Segment,BS02b_03,/PR02a_GE09_01/BS02b_03,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment.Segment Reference Level,PurContrLncntLn.SettlOrgnzBusSg.SgRefLevl,,
1057,2,R,,Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",Purchase,125,Inventory Product,IV01a,/PR02a_GE09_01/IV01a,$.Purchase Contract Line.Contract Line.Inventory Product,PurContrLncntLn.InvPrdct,,
1058,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,Purchase,125,Inventory Product,IV01a_01,/PR02a_GE09_01/IV01a_01,$.Purchase Contract Line.Contract Line.Inventory Product.ID,PurContrLncntLn.InvPrdct.Id,,
1059,2,C,,(Tax Exclude) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Exclude) Amount,GE04a,/PR02a_GE09_01/GE04a,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount,PurContrLncntLn.TaxExcldAmt,,
1060,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Exclude) Amount,GE04a_01,/PR02a_GE09_01/GE04a_01,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Value,PurContrLncntLn.TaxExcldAmt.Val,,
1061,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04b,/PR02a_GE09_01/BS04b,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Currency,PurContrLncntLn.TaxExcldAmt.Cur,,
1062,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04b_01,/PR02a_GE09_01/BS04b_01,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Currency.Code,PurContrLncntLn.TaxExcldAmt.Cur.Cd,,
1063,2,C,,(Tax Exclude Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Exclude Unit Price) Amount,GE04b,/PR02a_GE09_01/GE04b,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount,PurContrLncntLn.TaxExclUntPrcAmt,,
1064,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Exclude Unit Price) Amount,GE04b_01,/PR02a_GE09_01/GE04b_01,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Value,PurContrLncntLn.TaxExclUntPrcAmt.Val,,
1065,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04c,/PR02a_GE09_01/BS04c,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency,PurContrLncntLn.TaxExclUntPrcAmt.Cur,,
1066,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04c_01,/PR02a_GE09_01/BS04c_01,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency.Code,PurContrLncntLn.TaxExclUntPrcAmt.Cur.Cd,,
1067,2,C,,(Tax Include) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Include) Amount,GE04c,/PR02a_GE09_01/GE04c,$.Purchase Contract Line.Contract Line.(Tax Include) Amount,PurContrLncntLn.TaxIncldAmt,,
1068,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Include) Amount,GE04c_01,/PR02a_GE09_01/GE04c_01,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Value,PurContrLncntLn.TaxIncldAmt.Val,,
1069,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04d,/PR02a_GE09_01/BS04d,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Currency,PurContrLncntLn.TaxIncldAmt.Cur,,
1070,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04d_01,/PR02a_GE09_01/BS04d_01,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Currency.Code,PurContrLncntLn.TaxIncldAmt.Cur.Cd,,
1071,2,C,,(Tax Include Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Include Unit Price) Amount,GE04d,/PR02a_GE09_01/GE04d,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount,PurContrLncntLn.TaxInclUntPrcAmt,,
1072,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Include Unit Price) Amount,GE04d_01,/PR02a_GE09_01/GE04d_01,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Value,PurContrLncntLn.TaxInclUntPrcAmt.Val,,
1073,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04e,/PR02a_GE09_01/BS04e,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency,PurContrLncntLn.TaxInclUntPrcAmt.Cur,,
1074,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04e_01,/PR02a_GE09_01/BS04e_01,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency.Code,PurContrLncntLn.TaxInclUntPrcAmt.Cur.Cd,,
1075,2,C,,Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,Quantity,GE14a,/PR02a_GE09_01/GE14a,$.Purchase Contract Line.Contract Line.Quantity,PurContrLncntLn.Qt,,
1076,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,Quantity,GE14a_01,/PR02a_GE09_01/GE14a_01,$.Purchase Contract Line.Contract Line.Quantity.Value,PurContrLncntLn.Qt.Val,,
1077,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS12a,/PR02a_GE09_01/BS12a,$.Purchase Contract Line.Contract Line.Quantity.Measurement Unit,PurContrLncntLn.Qt.MeaUnt,,
1078,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,Measurement Unit,BS12a_01,/PR02a_GE09_01/BS12a_01,$.Purchase Contract Line.Contract Line.Quantity.Measurement Unit.UOM Code,PurContrLncntLn.Qt.MeaUnt.UomCd,,
1079,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS02c,/PR02a_GE09_01/BS02c,$.Purchase Contract Line.Contract Line.Business Segment,PurContrLncntLn.BusSg,,
1080,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS02c_01,/PR02a_GE09_01/BS02c/BS02c_01,$.Purchase Contract Line.Contract Line.Business Segment.Code,PurContrLncntLn.BusSg.Cd,,
1081,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS02c_03,/PR02a_GE09_01/BS02c/BS02c_03,$.Purchase Contract Line.Contract Line.Business Segment.Segment Reference Level,PurContrLncntLn.BusSg.SgRefLevl,,
1082,2,C,,Tax,,0..*,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,Tax,GE15a,/PR02a_GE09_01/GE15a,$.Purchase Contract Line.Contract Line.Tax,PurContrLncntLn.Tx,,
1083,3,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Purchase,20,(Credit) Ledger Account,BS10a,/PR02a_GE09_01/GE15a/BS10a,$.Purchase Contract Line.Contract Line.Tax.(Credit) Ledger Account,PurContrLncntLn.Tx.CrdtLedgrAcnt,,
1084,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Purchase,20,(Credit) Ledger Account,BS10a_01,/PR02a_GE09_01/GE15a/BS10a_01,$.Purchase Contract Line.Contract Line.Tax.(Credit) Ledger Account.Account Number,PurContrLncntLn.Tx.CrdtLedgrAcnt.AcntNr,,
1085,3,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Purchase,20,(Debit) Ledger Account,BS10b,/PR02a_GE09_01/GE15a/BS10b,$.Purchase Contract Line.Contract Line.Tax.(Debit) Ledger Account,PurContrLncntLn.Tx.DebtLedgrAcnt,,
1086,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Purchase,20,(Debit) Ledger Account,BS10b_01,/PR02a_GE09_01/GE15a/BS10b_01,$.Purchase Contract Line.Contract Line.Tax.(Debit) Ledger Account.Account Number,PurContrLncntLn.Tx.DebtLedgrAcnt.AcntNr,,
1087,3,R,,Tax Type,,0..1,,"The reference association to the Tax Type class, which is a class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Purchase,42,Tax Type,BS21a,/PR02a_GE09_01/GE15a/BS21a,$.Purchase Contract Line.Contract Line.Tax.Tax Type,PurContrLncntLn.Tx.TxTyp,,
1088,4,A,REF,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Purchase,42,Tax Type,BS21a_01,/PR02a_GE09_01/GE15a/BS21a_01,$.Purchase Contract Line.Contract Line.Tax.Tax Type.Code,PurContrLncntLn.Tx.TxTyp.Cd,,
1089,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Local) Amount,GE04e,/PR02a_GE09_01/GE15a/GE04e,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount,PurContrLncntLn.Tx.LclAmt,,
1090,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Local) Amount,GE04e_01,/PR02a_GE09_01/GE15a/GE04e_01,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Value,PurContrLncntLn.Tx.LclAmt.Val,,
1091,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04f,/PR02a_GE09_01/GE15a/BS04f,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Currency,PurContrLncntLn.Tx.LclAmt.Cur,,
1092,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04f_01,/PR02a_GE09_01/GE15a/BS04f_01,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Currency.Code,PurContrLncntLn.Tx.LclAmt.Cur.Cd,,
1093,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Transaction) Amount,GE04f,/PR02a_GE09_01/GE15a/GE04f,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount,PurContrLncntLn.Tx.TrnscAmt,,
1094,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Transaction) Amount,GE04f_01,/PR02a_GE09_01/GE15a/GE04f_01,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Value,PurContrLncntLn.Tx.TrnscAmt.Val,,
1095,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS04g,/PR02a_GE09_01/GE15a/BS04g,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Currency,PurContrLncntLn.Tx.TrnscAmt.Cur,,
1096,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS04g_01,/PR02a_GE09_01/GE15a/BS04g_01,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Currency.Code,PurContrLncntLn.Tx.TrnscAmt.Cur.Cd,,
1097,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Purchase,0,ID,PR03a_GE10_01,/PR03a_GE10_01,$.Purchase Invoice.Invoice.ID,PurInvci.Id,,
1098,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Purchase,0,Invoice,PR03b_GE10_01,/PR03a_GE10_01/PR03b_GE10_01,$.Purchase Invoice.Invoice.ID,PurInvci.Id,,
1099,2,A,,Number,Char,0..1,Char Long,The number for an invoice.,Purchase,0,Invoice,PR03c_GE10_02,/PR03a_GE10_01/PR03c_GE10_02,$.Purchase Invoice.Invoice.Number,PurInvci.Nr,,
