sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1072,5,A,,Description,Text,0..1,,"Description of the address, such as Mailing, Physical, Investor Relations, etc.",gl-cor,0,Address,BU04b_02,/CO12a/CO03a/BU08b/BU04b/BU04b_02,$.Accounting Entries.Entity Information.Accountant.Address.Description,AccntEntrs.EnttyInfrm.Accnt.Adr.Dscr,住所説明,住所の説明。郵送先、実体、投資家向けなど。,
1073,5,A,,Purpose,Char,0..1,,"Freeform for codes like shipping, billing, mailing at address level.  Allows identification of multiple purpose addresses for each identifier.",gl-cor,0,Address,BU04b_03,/CO12a/CO03a/BU08b/BU04b/BU04b_03,$.Accounting Entries.Entity Information.Accountant.Address.Purpose,AccntEntrs.EnttyInfrm.Accnt.Adr.Prps,住所目的,配送、請求、郵送のような、住所レベルのコードの自由記述。個々の識別子により、住所の用途を識別する。,
1074,5,A,,Location Identifier,Char,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-cor,0,Address,BU04b_04,/CO12a/CO03a/BU08b/BU04b/BU04b_04,$.Accounting Entries.Entity Information.Accountant.Address.Location Identifier,AccntEntrs.EnttyInfrm.Accnt.Adr.LctIdntf,所在地識別子,位置を識別したり、窓口や取引と関係付けるコード。,
1075,5,A,,Building Number,Char,0..1,,Building Number,gl-cor,0,Address,BU04b_05,/CO12a/CO03a/BU08b/BU04b/BU04b_05,$.Accounting Entries.Entity Information.Accountant.Address.Building Number,AccntEntrs.EnttyInfrm.Accnt.Adr.BldngNr,建物番号,建物番号。,
1076,5,A,,Street,Name,0..1,,Street address,gl-cor,0,Address,BU04b_06,/CO12a/CO03a/BU08b/BU04b/BU04b_06,$.Accounting Entries.Entity Information.Accountant.Address.Street,AccntEntrs.EnttyInfrm.Accnt.Adr.Strt,通り,住所の通り。,
1077,5,A,,Detail,Name,0..1,,Address Detail,gl-cor,0,Address,BU04b_07,/CO12a/CO03a/BU08b/BU04b/BU04b_07,$.Accounting Entries.Entity Information.Accountant.Address.Detail,AccntEntrs.EnttyInfrm.Accnt.Adr.Detl,住所詳細,住所詳細。,
1078,5,A,,City,Name,0..1,,City or town of the address.,gl-cor,0,Address,BU04b_08,/CO12a/CO03a/BU08b/BU04b/BU04b_08,$.Accounting Entries.Entity Information.Accountant.Address.City,AccntEntrs.EnttyInfrm.Accnt.Adr.Cty,都市,住所の都市や町。,
1079,5,A,,State or Province,Name,0..1,,"State, province or region of the address.",gl-cor,0,Address,BU04b_09,/CO12a/CO03a/BU08b/BU04b/BU04b_09,$.Accounting Entries.Entity Information.Accountant.Address.State or Province,AccntEntrs.EnttyInfrm.Accnt.Adr.SttOrPrvnc,州,住所の州や地方。,
1080,5,A,,Zip or Postal Code,Char,0..1,,Zip or other postal code of the address.,gl-cor,0,Address,BU04b_10,/CO12a/CO03a/BU08b/BU04b/BU04b_10,$.Accounting Entries.Entity Information.Accountant.Address.Zip or Postal Code,AccntEntrs.EnttyInfrm.Accnt.Adr.ZpOrPstlCd,郵便番号,住所の郵便番号。,
1081,5,A,,Country,Char,0..1,,Country of the address.,gl-cor,0,Address,BU04b_11,/CO12a/CO03a/BU08b/BU04b/BU04b_11,$.Accounting Entries.Entity Information.Accountant.Address.Country,AccntEntrs.EnttyInfrm.Accnt.Adr.Cntry,国,住所の国。,
1082,4,C,,Contact,,0..*,,Information about contacts.,gl-cor,0,Contact,BU06b,/CO12a/CO03a/BU08b/BU06b,$.Accounting Entries.Entity Information.Accountant.Contact,AccntEntrs.EnttyInfrm.Accnt.Cnt,【担当者情報】,担当者に関する情報。,
