sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
13378.0,2.0,Composition,,Document,Base,,Period,0..1,A base for the document.,Abstract Class,,,UN2148_05,5.0,,,,,,,,,,,
10950.0,2.0,Composition,,Document,CI,,Note,0..*,A ci for the document.,Abstract Class,,,UN2106_13,17.0,,,,,,,,,,,
11045.0,2.0,Composition,,Document,Specified,,Binary File,0..*,A binary file attached to the exchanged document.,Abstract Class,,,UN2110_16,11.0,,,,,,,,,,,
17251.0,2.0,Composition,,Document,,,Note,0..*,"A note included in this MSI exchanged document.
A note included in this document line.
A note included in this exchanged document.
An additional information note included for this financing request document.
A note included in this referenced document.",Abstract Class,,,UN2195_11,5.0,,,,,,,,,,,
121.0,1.0,Abstract Class,,Location,,,,,"A physical place that may be specified, referenced, or used for an activity, process, or purpose.",Abstract Class,,,UN2007,,,,,,,,,,,,
8711.0,2.0,Attribute,,Location,Identification, Identifier,,0..1,An identifier for the location.,Abstract Class,,,UN2008_01,18.0,,,,,,,,,,,
8712.0,2.0,Attribute,,Location,Name, Text,,0..1,"A name, expressed as text.",Abstract Class,,,UN2008_02,20.0,,,,,,,,,,,
8714.0,2.0,Attribute,,Location,Description, Text,,0..1,A textual description.,Abstract Class,,,UN2008_04,11.0,,,,,,,,,,,
8716.0,2.0,Attribute,,Location,Country Name, Text,,0..1,"The name, expressed as text, of the country.",Abstract Class,,,UN2008_06,5.0,,,,,,,,,,,
8718.0,2.0,Attribute,,Location,Country, Identifier,,0..1,The identifier of a country.,Abstract Class,,,UN2008_08,8.0,,,,,,,,,,,
8719.0,2.0,Attribute,,Location,Country Sub-Division, Identifier,,0..1,The identifier of the country sub-division.,Abstract Class,,,UN2008_09,5.0,,,,,,,,,,,
8723.0,2.0,Attribute,,Location,Type, Text,,0..1,The code specifying the type of location.,Abstract Class,,,UN2008_13,15.0,,,,,,,,,,,
13267.0,2.0,Composition,,Location,Structured,,Address,0..1,The structured address specified.,Abstract Class,,,UN2147_08,5.0,,,,,,,,,,,
135.0,1.0,Abstract Class,,Note,,,,,A textual or coded remark or additional information.,Abstract Class,,,UN2008,,,,,,,,,,,,
8725.0,2.0,Attribute,,Note,Subject, Text,,0..1,The code specifying the subject of the note.,Abstract Class,,,UN2009_01,7.0,,,,,,,,,,,
8726.0,2.0,Attribute,,Note,Content, Text,,0..1,"Content, expressed as text.",Abstract Class,,,UN2009_02,12.0,,,,,,,,,,,
8727.0,2.0,Attribute,,Note,Identification, Identifier,,0..1,An identifier for the note.,Abstract Class,,,UN2009_03,8.0,,,,,,,,,,,
8728.0,2.0,Attribute,,Note,Name, Text,,0..1,"A name, expressed as text.",Abstract Class,,,UN2009_04,6.0,,,,,,,,,,,
8729.0,2.0,Attribute,,Note,Creation, Date Time,,0..1,"The date, time, date time, or other date time value.",Abstract Class,,,UN2009_05,7.0,,,,,,,,,,,
141.0,1.0,Abstract Class,,Party,,,,,"An individual, group, or organisation that has a role in a business or administrative context.",Abstract Class,,,UN2009,,,,,,,,,,,,
10670.0,2.0,Attribute,,Party,Primary_ Identification, Identifier,,1..1,The primary identifier of the buyer party.,Abstract Class,,,UN2292_01,14.0,,,,,,,,,,,
8731.0,2.0,Attribute,,Party,Identification, Identifier,,0..1,An identifier for the party.,Abstract Class,,,UN2010_01,33.0,,,,,,,,,,,
8732.0,2.0,Attribute,,Party,Type, Code,,0..1,A code specifying the type of party.,Abstract Class,,,UN2010_02,20.0,,,,,,,,,,,
