version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v4,41,2,Attribute,PK,CIILB_ Referenced_ Document,Issuer Assigned_ Identification,Identifier,,1..1,The issuer assigned identifier for this CI referenced document.,BBIE, ,,IssuerAssignedID,（明細行参照）文書ID,この明細行が参照する文書に記載の文書ID。,CIILB_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,JP01005580
v4,42,2,Attribute,PK,CIILB_ Referenced_ Document,Line,Identifier,,1..1,The unique identifier of a line in this CI referenced document.,BBIE, ,,LineID,（明細行参照）文書明細行ID,この明細行が参照する文書に記載の文書明細行ID。,CIILB_ Referenced_ Document. Line. Identifier,JP01005585
v4.3,43,2,Attribute,,CIILB_ Referenced_ Document,URI_ Identification,Identifier,,0..1,The unique Uniform Resource Identifier (URI) for this CI referenced document.,BBIE, ,,URIID,（明細行参照）文書URL_ID,この明細行が参照する文書が所在するURL_ID,CIILB_ Referenced_ Document. URI_ Identification. Identifier,JP01005581
v4.3,44,2,Attribute,,CIILB_ Referenced_ Document,Issue,Date Time,,0..1,The date or date time for the issuance of this CI referenced document.,BBIE,日時様式 ISO8601,,IssueDateTime,（明細行参照）文書発行日,この明細行が参照する文書に記載の発行日付,CIILB_ Referenced_ Document. Issue. Date Time,JP01005582
v4,45,2,Attribute,,CIILB_ Referenced_ Document,Type,Code,,0..1,The code specifying the type of CI referenced document.,BBIE,JECxxxx,,TypeCode,（明細行参照）文書類型コード,この明細行が参照する文書の類型タイプを識別するコード。,CIILB_ Referenced_ Document. Type. Code,JP01009672
v4,46,2,Attribute,,CIILB_ Referenced_ Document,Subtype,Code,,0..1,A code specifying a subtype of this CI referenced document.,BBIE,JECxxxx,,SubtypeCode,（明細行参照）文書サブタイプコード,この明細行が参照する文書の文書サブタイプを識別するコード。,CIILB_ Referenced_ Document. Subtype. Code,JP01014899
v4,47,2,Attribute,,CIILB_ Referenced_ Document,Revision_ Identification,Identifier,,0..1,The unique identifier for a revision of this CI referenced document.,BBIE,  ,,RevisionID,（明細行参照）文書履歴ID,この明細行が参照する文書の変更履歴を管理するID。,CIILB_ Referenced_ Document. Revision_ Identification. Identifier,JP01005588
v4.3,48,2,Attribute,,CIILB_ Referenced_ Document,Information,Text,,0..n,"Information, expressed as text, for this CI referenced document.",BBIE,,ISO639言語コード,Information,（明細行参照）文書情報,この明細行が参照する文書に記載の情報,CIILB_ Referenced_ Document. Information. Text,JP01006415
v4.3,49,2,Attribute,,CIILB_ Referenced_ Document,Name,Text,,0..1,"A name, expressed as text, for this CI referenced document.",BBIE,,ISO639言語コード,Name,（明細行参照）文書名,この明細行が参照する文書の名称,CIILB_ Referenced_ Document. Name. Text,JP01005589
v1,50,1,Class,,CIIH_ Supply Chain_ Trade Transaction,,,,-,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",ASMA,  ,,CIIHSupplyChainTradeTransaction,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,CIIH_ Supply Chain_ Trade Transaction. Details,UN01005936
v1,51,2,Composition,,CIIH_ Supply Chain_ Trade Transaction,Applicable,,CIIH_ Supply Chain_ Trade Agreement,1..1,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,ASBIE,  ,,ApplicableCIIHSupplyChainTradeAgreement,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,UN01005937
v2,52,2,Composition,,CIIH_ Supply Chain_ Trade Transaction,Applicable,,CIIH_ Supply Chain_ Trade Settlement,1..1,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,ASBIE, ,,ApplicableCIIHSupplyChainTradeSettlement,インボイス文書取引／決済グループ,決済に関するグループ,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,UN01005939
