version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v4.1,172,2,Attribute,,CIILB_ Trade_ Allowance Charge,Charge,Indicator,,1..1,The indication of whether or not this CI trade allowance charge is a charge.,BBIE,JECxxxx,,ChargeIndicator,明細行返金・追加請求判別子,"明細行の返金・追加請求判別子
True (Charge) / False(Allowance)",CIILB_ Trade_ Allowance Charge. Charge. Indicator,JP01005707
v4.1,173,2,Attribute,,CIILB_ Trade_ Allowance Charge,Actual,Amount,,0..1,An actual monetary value of this CI trade allowance charge.,BBIE,,ISO4217通貨コード,ActualAmount,明細行返金・追加請求金額,明細行の返金・追加請求金額。,CIILB_ Trade_ Allowance Charge. Actual. Amount,JP01005713
v4.1,174,2,Attribute,,CIILB_ Trade_ Allowance Charge,Reason,Code,,0..1,The code specifying the reason for this CI trade allowance charge.,BBIE,UNCL5189,,ReasonCode,明細行返金・追加請求理由コード,明細行の返金・追加請求理由を識別するコード,CIILB_ Trade_ Allowance Charge. Reason. Code,JP01005714
v4.1,175,2,Attribute,,CIILB_ Trade_ Allowance Charge,Reason,Text,,0..1,"The reason, expressed as text, for this CI trade allowance charge.",BBIE,,ISO639言語コード,Reason,明細行返金・追加請求理由,明細行の返金・追加請求理由（内容）の説明,CIILB_ Trade_ Allowance Charge. Reason. Text,JP01005715
v4,176,2,Composition,,CIILB_ Trade_ Allowance Charge,Category,,CIILB_ Trade_ Tax,0..n,A tax category of this CIILB trade allowance charge.,ASBIE, ,,CategoryCIILBTradeTax,明細行返金・追加請求税グループ,明細行の返金・追加請求の税に関するグループ,CIILB_ Trade_ Allowance Charge. Category. CIILB_ Trade_ Tax,JP01005716
v1,177,1,Class,,CIIL_ Trade Settlement_ Monetary Summation,,,,－,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Line (CIIL).,ABIE, ,,CIILTradeSettlementMonetarySummation,明細文書ヘッダ合計金額クラス,明細文書ヘッダ合計金額に関する情報からなるクラス,CIIL_ Trade Settlement_ Monetary Summation. Details,UN01006006
v4,178,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Charge Total,Amount,,0..1,A monetary value of the total of all charge amounts being reported in this CIIL trade settlement monetary summation.,BBIE,,ISO4217通貨コード,ChargeTotalAmount,明細文書ヘッダ追加請求合計金額,明細文書ヘッダレベルの追加請求合計金額=Σ明細文書ヘッダ追加請求金額,CIIL_ Trade Settlement_ Monetary Summation. Charge Total. Amount,UN01006008
v4,179,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Allowance Total,Amount,,0..1,A monetary value of the total of all allowance amounts being reported in this CIIL trade settlement monetary summation.,BBIE,,ISO4217通貨コード,AllowanceTotalAmount,明細文書ヘッダ返金合計金額,明細文書ヘッダレベルの返金合計金額=Σ明細文書ヘッダ返金・追加請求金額,CIIL_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,UN01006009
v1,180,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Tax Total,Amount,,0..1,A monetary value of the total of all tax amounts being reported in this CIIL trade settlement monetary summation.,BBIE,,ISO4217通貨コード,TaxTotalAmount,明細文書ヘッダ消費税合計額,"明細文書ヘッダ消費税の合計税額=（明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額）×税率
（明細文書ヘッダ課税分類コード＝S/AA）",CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,UN01006011
v1,181,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Net_ Line Total,Amount,,0..1,"A monetary value of the line amount total, including line level allowances and charges and excluding line level taxes, being reported in this CIIL trade settlement monetary summation.",BBIE,,ISO4217通貨コード,NetLineTotalAmount,明細文書ヘッダ譲渡資産合計金額(税抜き),Σ明細行譲渡資産金額（税抜き）,CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,UN01008456
v2,182,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Net Including Taxes_ Line Total,Amount,,0..1,"A monetary value of the line amount total, including line level allowances, charges, and taxes, being reported in this CIIL trade settlement monetary summation.",BBIE,,ISO4217通貨コード,NetIncludingTaxesLineTotalAmount,明細文書ヘッダ譲渡資産合計金額(税込み),Σ明細文書明細行譲渡資産金額（税込み）,CIIL_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,UN01008457
V4,183,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Grand Total,Amount,,0..1,The monetary value of the grand total amount of this CIIL trade settlement monetary summation.,BBIE,,ISO4217通貨コード,GrandTotalAmount,明細文書ヘッダ課税対象総合計金額（税込み）,"明細文書ヘッダ課税対象取引合計金額（税込み）=明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額＋明細文書ヘッダ消費税合計額
（明細文書ヘッダ課税分類コード＝S/AA）",CIIL_ Trade Settlement_ Monetary Summation. Grand Total. Amount,UN01011519
v4.3,184,2,Attribute,,CIIL_ Trade Settlement_ Monetary Summation,Tax Free Total,Amount,,0..1,#N/A,BBIE,,ISO4217通貨コード,TaxFreeTotalAmount,明細文書ヘッダ課税対象外合計金額,"明細文書ヘッダの課税対象外合計金額。
'=Σ明細行課税対象外取引金額
（明細行課税分類コード＝E/G/O）",CIIL_ Trade Settlement_ Monetary Summation. Tax Free Total. Amount,JPSxxxxxxxx
v4.3,185,1,Class,,CI_ Trade_ Accounting Account,,,,－,"A specific Cross Industry (CI) trade account for recording debits and credits to general accounting, cost accounting or budget accounting.",ABIE,  ,,CITradeAccountingAccount,会計アカウントクラス,会計アカウントに関するクラス,CI_ Trade_ Accounting Account. Details,UN01005680
v4.3,186,2,Attribute,PK,CI_ Trade_ Accounting Account,Identification,Identifier,,1..1,The unique identifier for this CI trade accounting account.,BBIE,,,ID,明細行会計アカウントID,明細行会計アカウントのID,CI_ Trade_ Accounting Account. Identification. Identifier,UN01005681
v4.3,187,2,Attribute,,CI_ Trade_ Accounting Account,Type,Code,,0..1,"The code specifying the type of CI trade accounting account, such as general (main), secondary, cost accounting or budget account.",BBIE,,,TypeCode,明細行会計アカウントタイプコード,明細行会計アカウントのタイプコード,CI_ Trade_ Accounting Account. Type. Code,UN01005683
v4.3,188,2,Attribute,,CI_ Trade_ Accounting Account,Name,Text,,0..1,"The name, expressed as text, of this CI trade accounting account.",BBIE,  ,,Name,明細行会計アカウント名,明細行会計アカウントの名称,CI_ Trade_ Accounting Account. Name. Text,UN01005685
v1,189,1,Class,,CIILB_ Subordinate_ Trade Line Item,,,, -,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.,ABIE, ,,CIILBSubordinateTradeLineItem,明細行クラス,明細行に関する情報からなるクラス,CIILB_ Subordinate_ Trade Line Item. Details,UN01009647
v1,190,2,Attribute,PK,CIILB_ Subordinate_ Trade Line Item,Identification,Identifier,,1..1,An identifier for this CIILB subordinate trade line item.,BBIE, ,,ID,明細行ID,この文書の明細行に関する情報を特定するために付与した行ID。明細行をユニークに識別するために付番する場合は文書IDとの複合キーで明細行を特定する。,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,UN01009648
v4,191,2,Attribute,,CIILB_ Subordinate_ Trade Line Item,Category,Code,,0..1,The code specifying the category of this CIILB subordinate trade line item.,BBIE,JECxxxx,,CategoryCode,明細行類型コード,"この明細行の取引類型（資産譲渡、返金、追加請求、調整等）を識別するコード。
デフォルトは「資産譲渡」",CIILB_ Subordinate_ Trade Line Item. Category. Code,UN01014637
v4.2,192,2,Composition,,CIILB_ Subordinate_ Trade Line Item,Included,,CI_ Note,0..n,A note included in this CIILB subordinate trade line item.,ASBIE,,,IncludedCINote,明細行／注釈グループ,明細行の注釈に関するグループ,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,UN01015533
v1,193,2,Composition,,CIILB_ Subordinate_ Trade Line Item,Specified,,CIILB_ Supply Chain_ Trade Agreement,1..1,The supply chain trade agreement specified for this CIILB subordinate trade line item.,ASBIE, ,,SpecifiedCIILBSupplyChainTradeAgreement,明細行／取引契約グループ,明細行の取引契約に関するグループ,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,UN01009649
v1,194,2,Composition,,CIILB_ Subordinate_ Trade Line Item,Specified,,CIILB_ Supply Chain_ Trade Delivery,1..1,The supply chain trade delivery specified for this CIILB subordinate trade line item.,ASBIE, ,,SpecifiedCIILBSupplyChainTradeDelivery,明細行／配送グループ,明細行の配送に関するグループ,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,UN01009650
v1,195,2,Composition,,CIILB_ Subordinate_ Trade Line Item,Specified,,CIILB_ Supply Chain_ Trade Settlement,1..1,The supply chain trade settlement specified for this CIILB subordinate trade line item.,ASBIE, ,,SpecifiedCIILBSupplyChainTradeSettlement,明細行／決裁グループ,明細行の決済に関するグループ,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,UN01009651
v1,196,2,Composition,,CIILB_ Subordinate_ Trade Line Item,Applicable,,CI_ Trade_ Product,1..1,A product applicable for this CIILB subordinate trade line item.,ASBIE, ,,ApplicableCITradeProduct,明細行／取引品目グループ,明細行の取引品目に関するグループ,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,UN01010016
v1,197,1,Class,,CIILB_ Supply Chain_ Trade Agreement,,,,－,The contractual terms of a Cross Industry Invoice Line Breakdown (CIILB) supply chain trade agreement.,ABIE, ,,CIILBSupplyChainTradeAgreement,取引契約クラス,取引契約に関する情報からなるクラス,CIILB_ Supply Chain_ Trade Agreement. Details,UN01009653
v4,198,2,Composition,,CIILB_ Supply Chain_ Trade Agreement,Additional_ Referenced,,CIILB_ Referenced_ Document,0..1,An additional document referenced in this CIILB supply chain trade agreement.,ASBIE, ,,AdditionalReferencedCIReferencedDocument,明細行契約／明細行参照文書グループ,取引契約と明細行参照文書に関するグループ,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,UN01009656
v1,199,2,Composition,,CIILB_ Supply Chain_ Trade Agreement,Net Price_ Product,,CI_ Trade_ Price,1..1,A net product price in this CIILB supply chain trade agreement.,ASBIE, ,,NetPriceProductCITradePrice,明細行契約／契約単価グループ,明細行の契約単価に関するグループ。,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,UN01009658
v1,200,1,Class,,CI_ Trade_ Price,,,,－,A sum of money for which something is or may be bought or sold for Cross Industry (CI) trade purposes.,ABIE, ,,CITradePrice,契約単価クラス,明細行の契約単価に関する情報からなるクラス。,CI_ Trade_ Price. Details,UN01005790
v1/v3,201,2,Attribute,,CI_ Trade_ Price,Charge,Amount,,1..1,A monetary value of this CI trade price charge.,BBIE,,ISO4217通貨コード,ChargeAmount,契約単価,"発注者と受注者が合意した明細発注品の単価。単価基準数量と単価基準数量単位の指定に従う。
税込み、税抜きの識別はヘッダ部の「UN01013096：税計算方式」で指定（指定がない場合（デフォルト）は税抜き）。",CI_ Trade_ Price. Charge. Amount,UN01005792
v1,202,1,Class,,CIILB_ Supply Chain_ Trade Delivery,,,,-,Cross Industry Invoice Line Breakdown (CIILB) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,ABIE, ,,CIILBSupplyChainTradeDelivery,明細行納入クラス,明細行の納入に関する情報からなるクラス,CIILB_ Supply Chain_ Trade Delivery. Details,UN01009659
v1,203,2,Attribute,,CIILB_ Supply Chain_ Trade Delivery,Billed,Quantity,,1..1,The billed quantity of this CIILB supply chain trade delivery.,BBIE,"数量単位コード
UNECERec20",,BilledQuantity,配送数量,"この情報項目は取引数量の指定に利用する。
この項目の属性として数量単位コードを指定することにより、ずべての品目の取引数量指定に利用できる。
流通業の定貫品目取引では、この項目は利用せず「セット数量」または「バラ数量」を利用する。",CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,UN01014639
v1,204,1,Class,,CIILB_ Supply Chain_ Trade Settlement,,,,-,The Cross Industry Invoice Line Breakdown (CIILB) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,ABIE, ,,CIILBSupplyChainTradeSettlement,明細行決裁クラス,明細行の決済入に関する情報からなるクラス,CIILB_ Supply Chain_ Trade Settlement. Details,UN01009664
v４,205,2,Attribute,,CIILB_ Supply Chain_ Trade Settlement,Direction,Code,,0..1,The code specifying whether this CIILB supply chain trade settlement is an addition or a subtraction.,BBIE,JECxxxx,,DirectionCode,明細行取引方向コード,"明細行の取引方向を識別するコード
デフォルトは「プラス」
明細行取引類型コードが「調整」を指定場合に利用する。
金額の「プラス」「マイナス」表示を許容する場合は実装しない。",CIILB_ Supply Chain_ Trade Settlement. Direction. Code,UN01014641
v1,206,2,Composition,,CIILB_ Supply Chain_ Trade Settlement,Applicable,,CIILB_ Trade_ Tax,1..1,The trade tax applicable to this CIILB supply chain trade settlement.,ASBIE, ,,ApplicableCITradeTax,明細行決済／明細行税グループ,明細行決済の税に関するグループ,CIILB_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,JP01009665
v4.3,207,2,Composition,,CIILB_ Supply Chain_ Trade Settlement,Specified,,CIILB_ Financial_ Adjustment,0..n,A financial adjustment specified for this CIILB supply chain trade settlement.,ASBIE, ,,SpecifiedCIFinancialAdjustment,明細行決済／調整（調整差額調整）グループ,明細行決済の調整（修正差額調整）に関するグループ,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,UN01014643
v4,208,2,Composition,,CIILB_ Supply Chain_ Trade Settlement,Specified,,CIILB_ Trade_ Allowance Charge,0..n,An allowance or charge specified for this CIILB supply chain trade settlement.,ASBIE, ,,SpecifiedCITradeAllowanceCharge,明細行決裁／返金・追加請求グループ,明細行の返金・追加請求に関するグループ,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,UN01014644
v4,209,2,Composition,,CIILB_ Supply Chain_ Trade Settlement,Billing,,CI_ Specified_ Period,1..1,The billing period specified for this CIILB supply chain trade settlement.,ASBIE, ,,BillingCISpecifiedPeriod,明細行／取引期間グループ　,"明細行の取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,UN01014894
v4.3,210,2,Composition,,CIILB_ Supply Chain_ Trade Settlement,Receivable_ Specified,,CI_ Trade_ Accounting Account,0..1,#N/A,ASBIE,,,ReceivableSpecifiedCITradeAccountingAccount,明細行／会計アカウントグループ,この明細行の会計アカウントに関するグループ,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,JPSxxxxxxxx
v1,211,1,Class,,CI_ Trade_ Product,,,, -,Any tangible output or service produced by human or mechanical effort or by a natural process for Cross Industry (CI) trade purposes.,ABIE, ,,CITradeProduct,取引品目クラス,取引品目に関する情報からなるクラス。,CI_ Trade_ Product. Details,UN01005809
v1,212,2,Attribute,,CI_ Trade_ Product,Identification,Identifier,,0..1,The unique identifier for this CI trade product.,BBIE, ,,ID,品目ID,品目名を特定するために付与したID,CI_ Trade_ Product. Identification. Identifier,UN01005810
v1,213,2,Attribute,,CI_ Trade_ Product,Name,Text,,1..1,"A name, expressed as text, for this CI trade product.",BBIE,,ISO639言語コード,Name,品目名,この取引品目の名称。,CI_ Trade_ Product. Name. Text,UN01005815
v1,214,2,Attribute,,CI_ Trade_ Product,Description,Text,,0..1,A textual description for this CI trade product.,BBIE,,ISO639言語コード,Description,品目摘要,この取引品目内容を文字で説明したもの,CI_ Trade_ Product. Description. Text,UN01005817
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
