version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class,property_term,representation_term,associated_class,definition_local,code_list,DEN,definition,short_name,element,xpath
v4,174,3,C,,UN01005992,ASBIE,明細文書ヘッダ／決済グループ,0..1,CIIL_ Supply Chain_ Trade Line Item,Specified,,CIIL_ Supply Chain_ Trade Settlement,明細文書の決済に関するグループ。, ,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Settlement,,,SpecifiedCIILSupplyChainTradeSettlement,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument
v4,176,4,A,,UN01014647,BBIE,明細文書ヘッダ取引方向コード,0..1,CIIL_ Supply Chain_ Trade Settlement,Direction,Code,,明細文書ヘッダの取引方向を識別するコード,JECxxxx,CIIL_ Supply Chain_ Trade Settlement. Direction. Code,,,DirectionCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ReferenceCIReferencedDocument
v4,177,4,C,,UN01005998,ASBIE,明細文書ヘッダ決済／明細文書ヘッダ返金グループ,0..n,CIIL_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade_ Allowance Charge,明細文書ヘッダの返金グループ, ,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,SpecifiedCITradeAllowanceCharge,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/DirectionCode
v4,179,5,A,,UN01005707,BBIE,"明細文書ヘッダ返金・追加請求判別子
＝返金（Allowance）",1..1,CI_ Trade_ Allowance Charge,Charge,Indicator,,"明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
=False(Allowance)", ,CI_ Trade_ Allowance Charge. Charge. Indicator,,,ChargeIndicator,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/SubtypeCode
v4.1,180,5,A,,UN01005713,BBIE,明細文書ヘッダ返金金額,0..1,CI_ Trade_ Allowance Charge,Actual,Amount,,"この文書の明細文書ヘッダに紐付く返金金額
源泉所得税は含まず。鑑ヘッダで対応","通貨コード
ISO4217",CI_ Trade_ Allowance Charge. Actual. Amount,,,ActualAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ChargeIndicator
v4.1,181,5,A,,UN01005714,BBIE,明細文書ヘッダ返金理由コード,0..1,CI_ Trade_ Allowance Charge,Reason,Code,,この明細文書ヘッダ返金の理由を識別するコード,UNCL5189,CI_ Trade_ Allowance Charge. Reason. Code,,,ReasonCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ActualAmount
v4.1,182,5,A,,UN01005715,BBIE,明細文書ヘッダ返金理由,0..1,CI_ Trade_ Allowance Charge,Reason,Text,,この明細文書ヘッダの明細文書ヘッダに紐付く返金金額,"通貨コード
ISO4217",CI_ Trade_ Allowance Charge. Reason. Text,,,Reason,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/ReasonCode
v4,183,5,C,,UN01005716,ASBIE,明細文書ヘッダ返金／明細文書ヘッダ返金税グループ,0..n,CI_ Trade_ Allowance Charge,Category,,CI_ Trade_ Tax,明細文書ヘッダ返金の税に関するグループ, ,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,CategoryCITradeTax,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/Reason
v4,185,6,A,,UN01005841,BBIE,明細文書ヘッダ返金課税分類コード,1..1,CI_ Trade_ Tax,Category,Code,,明細文書ヘッダ返金の課税分類コード,UNCL5305,CI_ Trade_ Tax. Category. Code,,,CategoryCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/CategoryCITradeTax/Name
v4,186,6,A,,UN01007174,BBIE,明細文書ヘッダ返金税率,0..1,CI_ Trade_ Tax,Rate_ Applicable,Percent,,明細文書ヘッダ返金の税率, ,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,RateApplicablePercent,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge/CategoryCITradeTax/CategoryCode
