sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
352,5,A,,Expiration,xbrli:dateTimeItemType,0..1,,Expiration date of the batch.,gl-ehm,0,Serial or Lot,EH01a_09,/CO16a/CO15a/CO14a/EH01a/EH01a_09,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Expiration,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Exprtn,シリアル・ロット有効期限,ロットの有効期限。,gl-ehm:serialOrLotExpiration,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotExpiration
353,5,A,,Manufacturer,xbrli:stringItemType,0..1,,Manufacturer of the item (serial) or items (lot/batch).,gl-ehm,0,Serial or Lot,EH01a_10,/CO16a/CO15a/CO14a/EH01a/EH01a_10,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Manufacturer,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Manfctrr,シリアル・ロット製造元,シリアル番号またはロットの製造者。,gl-ehm:serialOrLotManufacturer,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotManufacturer
354,5,A,,Batch Description,xbrli:stringItemType,0..1,,A name or description of the items in the lot or batch.,gl-ehm,0,Serial or Lot,EH01a_11,/CO16a/CO15a/CO14a/EH01a/EH01a_11,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Batch Description,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.BatchDescrptn,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。,gl-ehm:serialOrLotBatchDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotBatchDescription
355,5,A,,Warranty Start Date,xbrli:dateTimeItemType,0..1,,"If the items are covered by warranty, when that warranty covered will begin or has begun.",gl-ehm,0,Serial or Lot,EH01a_12,/CO16a/CO15a/CO14a/EH01a/EH01a_12,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warranty Start Date,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntyStartDat,保証開始日,保証対象となる場合の保証開始日。,gl-ehm:serialOrLotWarrantyStartDate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantyStartDate
356,5,A,,Warranty End Date,xbrli:dateTimeItemType,0..1,,"If the items are covered by warranty, when that warranty covered will end or ended.",gl-ehm,0,Serial or Lot,EH01a_13,/CO16a/CO15a/CO14a/EH01a/EH01a_13,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warranty End Date,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntyEndDat,保証終了日,保証対象となる場合の保証終了日。,gl-ehm:serialOrLotWarrantyEndDate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantyEndDate
357,5,A,,Warranty Period,xbrli:decimalItemType,0..1,,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",gl-ehm,0,Serial or Lot,EH01a_14,/CO16a/CO15a/CO14a/EH01a/EH01a_14,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warranty Period,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntyPerd,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。,gl-ehm:serialOrLotWarrantyPeriod,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantyPeriod
358,5,A,,Warrant Period Unit,xbrli:stringItemType,0..1,,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",gl-ehm,0,Serial or Lot,EH01a_15,/CO16a/CO15a/CO14a/EH01a/EH01a_15,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warrant Period Unit,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntPerdUnt,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。,gl-ehm:serialOrLotWarrantPeriodUnit,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantPeriodUnit
359,5,A,,Warranty Vendor,xbrli:stringItemType,0..1,,The vendor providing warranty; this may differ from the manufacturer.,gl-ehm,0,Serial or Lot,EH01a_16,/CO16a/CO15a/CO14a/EH01a/EH01a_16,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warranty Vendor,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntyVendr,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。,gl-ehm:serialOrLotWarrantyVendor,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantyVendor
360,5,A,,Warranty Contract,xbrli:stringItemType,0..1,,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",gl-ehm,0,Serial or Lot,EH01a_17,/CO16a/CO15a/CO14a/EH01a/EH01a_17,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Warranty Contract,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.WarrntyContrct,保証契約情報,保証に関する契約番号、日付、URL などの情報。,gl-ehm:serialOrLotWarrantyContract,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotWarrantyContract
361,5,A,,Comment,xbrli:stringItemType,0..1,,Free format text related to the serial number or lot.,gl-ehm,0,Serial or Lot,EH01a_18,/CO16a/CO15a/CO14a/EH01a/EH01a_18,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Comment,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Commnt,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。,gl-ehm:serialOrLotComment,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotComment
362,4,C,,Tax Information,,0..*,,Tuple for holding tax related information,gl-cor,0,Tax Information,CO13a,/CO16a/CO15a/CO14a/CO13a,$.Accounting Entries.Entry Header.Entry Detail.Tax Information,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn,【税情報】,税関連の情報のタプル。,gl-cor:taxInformation,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation
363,5,A,,Authority,xbrli:stringItemType,0..1,,Name of the relevant tax authority,gl-cor,0,Tax Information,CO13a_01,/CO16a/CO15a/CO14a/CO13a/CO13a_01,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Authority,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.Athrty,課税庁,関係する課税庁の名前。,gl-cor:taxInformationAuthority,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationAuthority
364,5,A,,Table Code,xbrli:stringItemType,0..1,,Tax table code used by the relevant tax authority,gl-cor,0,Tax Information,CO13a_02,/CO16a/CO15a/CO14a/CO13a/CO13a_02,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Table Code,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.TablCod,税率表コード,関係する課税庁で使用される税率表のコード。,gl-cor:taxInformationTableCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxInformation/gl-cor:taxInformationTableCode
