sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element
1011,3,A,,Period Covered End,xbrli:stringItemType,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information,CO03a_10,/CO02a/CO03a_10,$.Accounting Entries.Document Information.Period Covered End,AccntEntrs.DocInfrm.PerCvrdEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:periodCoveredEnd
1012,3,A,,Period Count,xbrli:stringItemType,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,0,Document Information,CO03a_BU03_11,/CO02a/CO03a_BU03_11,$.Accounting Entries.Document Information.Period Count,AccntEntrs.DocInfrm.PerCnt,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,gl-bus:periodCount
1013,3,A,,Period Unit,xbrli:stringItemType,0..1,,Type of periods covered by periodCount,gl-cor,0,Document Information,CO03a_BU03_12,/CO02a/CO03a_BU03_12,$.Accounting Entries.Document Information.Period Unit,AccntEntrs.DocInfrm.PerUnt,期間単位,periodCountで対象とする期間の種別。\n[設定値のリスト]\n(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) \n,gl-bus:periodUnit
1014,3,A,,Period Unit Description,xbrli:stringItemType,0..1,,Free format description of the period unit,gl-cor,0,Document Information,CO03a_BU03_13,/CO02a/CO03a_BU03_13,$.Accounting Entries.Document Information.Period Unit Description,AccntEntrs.DocInfrm.PerUntDscr,期間単位説明,対象期間単位の説明。,gl-bus:periodUnitDescription
1015,3,A,,Source Application,xbrli:stringItemType,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-cor,0,Document Information,CO03a_BU03_14,/CO02a/CO03a_BU03_14,$.Accounting Entries.Document Information.Source Application,AccntEntrs.DocInfrm.SrcApl,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,gl-bus:sourceApplication
1016,3,A,,Target Application,xbrli:stringItemType,0..1,,Particular use for which file was generated.,gl-cor,0,Document Information,CO03a_BU03_15,/CO02a/CO03a_BU03_15,$.Accounting Entries.Document Information.Target Application,AccntEntrs.DocInfrm.TargtApl,対象アプリケーション,ファイルが作成された用途。,gl-bus:targetApplication
1017,3,A,,Default Currency,xbrli:stringItemType,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-cor,0,Document Information,CO03a_MC03_16,/CO02a/CO03a_MC03_16,$.Accounting Entries.Document Information.Default Currency,AccntEntrs.DocInfrm.DftCur,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,gl-muc:defaultCurrency
1018,2,C,,Entity Information,,0..1,,Holder for entity information - information about the reporting organization.,gl-cor,0,Entity Information,CO04a,/CO02a/CO04a,$.Accounting Entries.Entity Information,AccntEntrs.EnttyInfrm,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entityInformation
1019,3,A,,Default Accounting Method Purpose,xbrli:stringItemType,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",gl-cor,0,Entity Information,CO04a_BU04_04,/CO02a/CO04a_BU04_04,$.Accounting Entries.Entity Information.Default Accounting Method Purpose,AccntEntrs.EnttyInfrm.DftAccntMethdPrps,既定会計処理方法目的,明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),gl-bus:organizationAccountingMethodPurposeDefault
1020,3,A,,Default Accounting Method Purpose Description,xbrli:stringItemType,0..1,,Free format description of the default accounting method purpose,gl-cor,0,Entity Information,CO04a_BU04_05,/CO02a/CO04a_BU04_05,$.Accounting Entries.Entity Information.Default Accounting Method Purpose Description,AccntEntrs.EnttyInfrm.DftAccntMethdPrpsDscr,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,gl-bus:organizationAccountingMethodPurposeDefaultDescription
1021,3,A,,Business Description,xbrli:stringItemType,0..1,,Description of the nature of the business of the entity.,gl-cor,0,Entity Information,CO04a_BU04_10,/CO02a/CO04a_BU04_10,$.Accounting Entries.Entity Information.Business Description,AccntEntrs.EnttyInfrm.BusDscr,業種説明,事業体の事業の種類についての説明。,gl-bus:businessDescription
1022,3,A,,Fiscal Year Start,xbrli:stringItemType,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO04a_BU04_11,/CO02a/CO04a_BU04_11,$.Accounting Entries.Entity Information.Fiscal Year Start,AccntEntrs.EnttyInfrm.FiscYrStrt,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearStart
1023,3,A,,Fiscal Year End,xbrli:stringItemType,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO04a_BU04_12,/CO02a/CO04a_BU04_12,$.Accounting Entries.Entity Information.Fiscal Year End,AccntEntrs.EnttyInfrm.FiscYrEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearEnd
1024,3,C,,Phone Number,,0..1,,Phone Number,gl-cor,0,Phone Number,GE05a,/CO02a/GE05a,$.Accounting Entries.Entity Information.Phone Number,AccntEntrs.EnttyInfrm.PhnNr,【電話番号】,電話番号,gl-bus:entityPhoneNumber
1025,4,A,,Description,xbrli:stringItemType,0..1,,"Phone Number Description such as Main, Investor relations, etc.",gl-cor,0,Phone Number,GE05a_01,/CO02a/GE05a_01,$.Accounting Entries.Entity Information.Phone Number.Description,AccntEntrs.EnttyInfrm.PhnNr.Dscr,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,gl-bus:phoneNumberDescription
1026,4,A,,Number,xbrli:stringItemType,0..1,,phone number referred to in the description.,gl-cor,0,Phone Number,GE05a_02,/CO02a/GE05a_02,$.Accounting Entries.Entity Information.Phone Number.Number,AccntEntrs.EnttyInfrm.PhnNr.Nr,電話番号,説明で示される担電話番号,gl-bus:phoneNumber
1027,3,C,,Fax Number,,0..1,,Fax Number Structure,gl-cor,0,Fax Number,GE04a,/CO02a/GE04a,$.Accounting Entries.Entity Information.Fax Number,AccntEntrs.EnttyInfrm.FaxNr,【FAX番号】,FAX番号の構造体。,gl-bus:entityFaxNumberStructure
1028,4,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-cor,0,Fax Number,GE04a_01,/CO02a/GE04a_01,$.Accounting Entries.Entity Information.Fax Number.Number,AccntEntrs.EnttyInfrm.FaxNr.Nr,FAX番号,FAX番号。,gl-bus:entityFaxNumberUsage
1029,4,A,,Usage,xbrli:stringItemType,0..1,,"Fax Number Usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,GE04a_02,/CO02a/GE04a_02,$.Accounting Entries.Entity Information.Fax Number.Usage,AccntEntrs.EnttyInfrm.FaxNr.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-bus:entityFaxNumber
1030,3,C,,Email Address,,0..1,,E-mail address structure,gl-cor,0,Email Address,GE03a,/CO02a/GE03a,$.Accounting Entries.Entity Information.Email Address,AccntEntrs.EnttyInfrm.EmlAdr,【Eメールアドレス】,Eメールアドレスの構造体。,gl-bus:entityEmailAddressStructure
1031,4,A,,Usage,xbrli:stringItemType,0..1,,"E-mail address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,GE03a_01,/CO02a/GE03a_01,$.Accounting Entries.Entity Information.Email Address.Usage,AccntEntrs.EnttyInfrm.EmlAdr.Usg,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),gl-bus:entityEmailAddressUsage
1032,4,A,,Address,xbrli:stringItemType,0..1,,E-mail address,gl-cor,0,Email Address,GE03a_02,/CO02a/GE03a_02,$.Accounting Entries.Entity Information.Email Address.Address,AccntEntrs.EnttyInfrm.EmlAdr.Adr,Eメールアドレス,Eメールアドレス。,gl-bus:entityEmailAddress
1033,3,C,,Organization Identifier,,0..1,,Section which contains various identifiers for the company.,gl-cor,0,Organization Identifier,BU06a,/CO02a/BU06a,$.Accounting Entries.Entity Information.Organization Identifier,AccntEntrs.EnttyInfrm.OrgIdntf,【識別子】,組織に関する様々な識別子を含むセクション。,gl-bus:organizationIdentifiers
1034,4,A,,Organization Identifier,xbrli:stringItemType,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-cor,0,Organization Identifier,BU06a_01,/CO02a/BU06a_01,$.Accounting Entries.Entity Information.Organization Identifier.Organization Identifier,AccntEntrs.EnttyInfrm.OrgIdntf.OrgIdntf,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,gl-bus:organizationIdentifier
1035,4,A,,Organization Description,xbrli:stringItemType,0..1,,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-cor,0,Organization Identifier,BU06a_02,/CO02a/BU06a_02,$.Accounting Entries.Entity Information.Organization Identifier.Organization Description,AccntEntrs.EnttyInfrm.OrgIdntf.OrgDscr,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,gl-bus:organizationDescription
1036,3,C,,Address,,0..1,,Section which contains address information.,gl-cor,0,Address,GE01a,/CO02a/GE01a,$.Accounting Entries.Entity Information.Address,AccntEntrs.EnttyInfrm.Adr,【住所】,住所情報を含むセクション。,gl-bus:organizationAddress
1037,4,A,,Address Name,xbrli:stringItemType,0..1,,Address Name,gl-cor,0,Address,GE01a_01,/CO02a/GE01a_01,$.Accounting Entries.Entity Information.Address.Address Name,AccntEntrs.EnttyInfrm.Adr.AdrNam,住所名,住所の名前。,gl-bus:organizationAddressName
1038,4,A,,Address Description,xbrli:stringItemType,0..1,,Address Description,gl-cor,0,Address,GE01a_02,/CO02a/GE01a_02,$.Accounting Entries.Entity Information.Address.Address Description,AccntEntrs.EnttyInfrm.Adr.AdrDscr,住所説明,住所の説明。,gl-bus:organizationAddressDescription
1039,4,A,,Address Purpose,xbrli:stringItemType,0..1,,Address Purpose,gl-cor,0,Address,GE01a_03,/CO02a/GE01a_03,$.Accounting Entries.Entity Information.Address.Address Purpose,AccntEntrs.EnttyInfrm.Adr.AdrPrps,住所目的,住所の目的。,gl-bus:organizationAddressPurpose
1040,4,A,,Location Identifier,xbrli:stringItemType,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-cor,0,Address,GE01a_04,/CO02a/GE01a_04,$.Accounting Entries.Entity Information.Address.Location Identifier,AccntEntrs.EnttyInfrm.Adr.LctIdntf,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,gl-bus:organizationAddressLocationIdentifier
1041,4,A,,Building Number,xbrli:stringItemType,0..1,,Building Number,gl-cor,0,Address,GE01a_05,/CO02a/GE01a_05,$.Accounting Entries.Entity Information.Address.Building Number,AccntEntrs.EnttyInfrm.Adr.BldngNr,住所建物番号,建物番号。,gl-bus:organizationBuildingNumber
1042,4,A,,Street,xbrli:stringItemType,0..1,,Street address,gl-cor,0,Address,GE01a_06,/CO02a/GE01a_06,$.Accounting Entries.Entity Information.Address.Street,AccntEntrs.EnttyInfrm.Adr.Strt,住所通り,住所の通り。,gl-bus:organizationAddressStreet
1043,4,A,,Address Detail,xbrli:stringItemType,0..1,,Address Detail,gl-cor,0,Address,GE01a_07,/CO02a/GE01a_07,$.Accounting Entries.Entity Information.Address.Address Detail,AccntEntrs.EnttyInfrm.Adr.AdrDetl,住所詳細,住所詳細。,gl-bus:organizationAddressStreet2
1044,4,A,,City,xbrli:stringItemType,0..1,,City,gl-cor,0,Address,GE01a_08,/CO02a/GE01a_08,$.Accounting Entries.Entity Information.Address.City,AccntEntrs.EnttyInfrm.Adr.Cty,住所都市,住所の都市。,gl-bus:organizationAddressCity
1045,4,A,,State or Province,xbrli:stringItemType,0..1,,"State, province or region",gl-cor,0,Address,GE01a_09,/CO02a/GE01a_09,$.Accounting Entries.Entity Information.Address.State or Province,AccntEntrs.EnttyInfrm.Adr.SttOrPrvnc,住所州,住所の州や地方。,gl-bus:organizationAddressStateOrProvince
1046,4,A,,Country,xbrli:stringItemType,0..1,,Country,gl-cor,0,Address,GE01a_10,/CO02a/GE01a_10,$.Accounting Entries.Entity Information.Address.Country,AccntEntrs.EnttyInfrm.Adr.Cntry,住所国,住所の国。,gl-bus:organizationAddressCountry
1047,4,A,,Zip or Postal Code,xbrli:stringItemType,0..1,,Zip or other postal code,gl-cor,0,Address,GE01a_11,/CO02a/GE01a_11,$.Accounting Entries.Entity Information.Address.Zip or Postal Code,AccntEntrs.EnttyInfrm.Adr.ZpOrPstlCd,住所郵便番号,住所の郵便番号。,gl-bus:organizationAddressZipOrPostalCode
1048,3,C,,Web Site,,0..1,,Primary web site of the entity.,gl-cor,0,Web Site,BU09a,/CO02a/BU09a,$.Accounting Entries.Entity Information.Web Site,AccntEntrs.EnttyInfrm.WebSt,【事業体Webサイト】,事業体の代表ウェブサイト。,gl-bus:entityWebSite
1049,4,A,,Web Site Description,xbrli:stringItemType,0..1,,Description of the web site.,gl-cor,0,Web Site,BU09a_01,/CO02a/BU09a_01,$.Accounting Entries.Entity Information.Web Site.Web Site Description,AccntEntrs.EnttyInfrm.WebSt.WebStDscr,Webサイト説明,ウェブサイトの説明。,gl-bus:webSiteDescription
1050,4,A,,Web Site URL,xbrli:stringItemType,0..1,,Valid URL of the web site. Should be full URL.,gl-cor,0,Web Site,BU09a_02,/CO02a/BU09a_02,$.Accounting Entries.Entity Information.Web Site.Web Site URL,AccntEntrs.EnttyInfrm.WebSt.WebStUrl,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,gl-bus:webSiteURL
1051,3,C,,Contact,,0..1,,Contact Information Structure,gl-cor,0,Contact,GE02a,/CO02a/GE02a,$.Accounting Entries.Entity Information.Contact,AccntEntrs.EnttyInfrm.Cnt,【担当者情報】,担当者情報の構造体。,gl-bus:contactInformation
1052,4,A,,Prefix,xbrli:stringItemType,0..1,,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Contact",gl-cor,0,Contact,GE02a_01,/CO02a/GE02a_01,$.Accounting Entries.Entity Information.Contact.Prefix,AccntEntrs.EnttyInfrm.Cnt.Prfx,担当者敬称,担当者の敬称(Dr.、Mr.、Mrs.など)\n,gl-bus:contactPrefix
1053,4,A,,Last Name,xbrli:stringItemType,0..1,,Family Name for Contact,gl-cor,0,Contact,GE02a_02,/CO02a/GE02a_02,$.Accounting Entries.Entity Information.Contact.Last Name,AccntEntrs.EnttyInfrm.Cnt.LastNam,担当者姓,担当者の姓\n,gl-bus:contactLastName
1054,4,A,,First Name,xbrli:stringItemType,0..1,,First or Given Name for Contact,gl-cor,0,Contact,GE02a_03,/CO02a/GE02a_03,$.Accounting Entries.Entity Information.Contact.First Name,AccntEntrs.EnttyInfrm.Cnt.FrstNam,担当者名,担当者の名、クリスチャンネーム\n,gl-bus:contactFirstName
1055,4,A,,Suffix,xbrli:stringItemType,0..1,,"Suffix (e.g. MD, CPA, Jr., etc.)",gl-cor,0,Contact,GE02a_04,/CO02a/GE02a_04,$.Accounting Entries.Entity Information.Contact.Suffix,AccntEntrs.EnttyInfrm.Cnt.Sffx,担当者付加名称,付加名称(MD、CPA、Jr.など)\n,gl-bus:contactSuffix
1056,4,A,,Attention Line,xbrli:stringItemType,0..1,,Attention Line for Contact,gl-cor,0,Contact,GE02a_05,/CO02a/GE02a_05,$.Accounting Entries.Entity Information.Contact.Attention Line,AccntEntrs.EnttyInfrm.Cnt.AttntLn,担当者アテンションライン,担当者のアテンションライン\n,gl-bus:contactAttentionLine
1057,4,A,,Position/Role,xbrli:stringItemType,0..1,,Position or Role for Contact,gl-cor,0,Contact,GE02a_06,/CO02a/GE02a_06,$.Accounting Entries.Entity Information.Contact.Position/Role,AccntEntrs.EnttyInfrm.Cnt.Pstnr,担当者地位/役職,担当者の地位や役職\n,gl-bus:contactPositionRole
1058,4,A,,Contact Type,xbrli:stringItemType,0..1,,Contact Type for Contact,gl-cor,0,Contact,GE02a_07,/CO02a/GE02a_07,$.Accounting Entries.Entity Information.Contact.Contact Type,AccntEntrs.EnttyInfrm.Cnt.CntTyp,担当者役割,担当者の種別\n,gl-bus:contactType
1059,4,A,,Location ID cross reference,xbrli:stringItemType,0..1,,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-cor,0,Contact,GE02a_08,/CO02a/GE02a_08,$.Accounting Entries.Entity Information.Contact.Location ID cross reference,AccntEntrs.EnttyInfrm.Cnt.LctIdCrssRef,所在地相互参照情報,担当者と所在地情報を関係付けるためのコード。addressLocationIdentifierと同じ値であるべき。,gl-bus:contactLocationIdentifierCrossReference
1060,4,C,,Phone Number,,0..1,,Phone Number,gl-cor,0,Phone Number,GE05b,/CO02a/GE05b,$.Accounting Entries.Entity Information.Contact.Phone Number,AccntEntrs.EnttyInfrm.Cnt.PhnNr,【電話番号】,電話番号,gl-bus:contactPhone
1061,5,A,,Description,xbrli:stringItemType,0..1,,"Phone Number Description such as Main, Investor relations, etc.",gl-cor,0,Phone Number,GE05b_01,/CO02a/GE05b_01,$.Accounting Entries.Entity Information.Contact.Phone Number.Description,AccntEntrs.EnttyInfrm.Cnt.PhnNr.Dscr,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,gl-bus:contactPhoneNumberDescription
1062,5,A,,Number,xbrli:stringItemType,0..1,,phone number referred to in the description.,gl-cor,0,Phone Number,GE05b_02,/CO02a/GE05b_02,$.Accounting Entries.Entity Information.Contact.Phone Number.Number,AccntEntrs.EnttyInfrm.Cnt.PhnNr.Nr,電話番号,説明で示される担電話番号,gl-bus:contactPhoneNumber
1063,4,C,,Fax Number,,0..1,,Fax Number Structure,gl-cor,0,Fax Number,GE04b,/CO02a/GE04b,$.Accounting Entries.Entity Information.Contact.Fax Number,AccntEntrs.EnttyInfrm.Cnt.FaxNr,【FAX番号】,FAX番号の構造体。,gl-bus:contactFax
1064,5,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-cor,0,Fax Number,GE04b_01,/CO02a/GE04b_01,$.Accounting Entries.Entity Information.Contact.Fax Number.Number,AccntEntrs.EnttyInfrm.Cnt.FaxNr.Nr,FAX番号,FAX番号。,gl-bus:contactFaxNumberUsage
1065,5,A,,Usage,xbrli:stringItemType,0..1,,"Fax Number Usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,GE04b_02,/CO02a/GE04b_02,$.Accounting Entries.Entity Information.Contact.Fax Number.Usage,AccntEntrs.EnttyInfrm.Cnt.FaxNr.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-bus:contactFaxNumber
1066,4,C,,Email Address,,0..1,,E-mail address structure,gl-cor,0,Email Address,GE03b,/CO02a/GE03b,$.Accounting Entries.Entity Information.Contact.Email Address,AccntEntrs.EnttyInfrm.Cnt.EmlAdr,【Eメールアドレス】,Eメールアドレスの構造体。,gl-bus:contactEMail
1067,5,A,,Usage,xbrli:stringItemType,0..1,,"E-mail address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,GE03b_01,/CO02a/GE03b_01,$.Accounting Entries.Entity Information.Contact.Email Address.Usage,AccntEntrs.EnttyInfrm.Cnt.EmlAdr.Usg,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),gl-bus:contactEmailAddressUsage
